history_id,investor_id,idea_id,year,interaction_score
568,521,668,2020,0
569,453,943,2018,0
570,455,56,2017,2
571,626,301,2023,3
572,918,759,2023,3
573,674,272,2021,4
574,59,437,2015,2
575,770,501,2024,0
576,944,109,2015,5
577,790,976,2023,1
578,113,990,2020,3
579,66,915,2016,4
580,876,774,2021,0
581,575,770,2018,4
582,17,120,2023,0
583,908,340,2018,2
584,610,134,2019,1
585,506,856,2022,2
586,817,923,2019,4
587,590,323,2017,5
588,763,782,2018,1
589,339,812,2015,1
590,642,900,2018,1
591,664,85,2023,1
592,188,895,2018,3
593,780,580,2024,3
594,111,729,2025,0
595,561,329,2019,4
596,844,564,2017,0
597,287,990,2021,3
598,27,631,2021,2
599,35,771,2016,3
600,816,620,2015,5
601,426,489,2025,2
602,444,475,2018,2
603,722,982,2025,4
604,157,355,2023,2
605,241,574,2020,0
606,859,362,2015,5
607,213,121,2023,3
608,667,673,2023,3
609,867,306,2016,4
610,23,819,2022,0
611,823,559,2016,2
612,968,157,2022,1
613,858,586,2024,0
614,163,871,2016,2
615,596,805,2015,1
616,594,953,2021,2
617,889,605,2025,1
618,908,30,2022,4
619,251,913,2024,2
620,442,152,2019,0
621,579,757,2022,3
622,38,979,2016,0
623,870,488,2018,0
624,671,747,2017,2
625,620,670,2019,0
626,745,273,2018,0
627,484,732,2022,0
628,628,661,2018,5
629,532,605,2018,2
630,857,204,2025,1
631,402,257,2016,3
632,7,726,2023,2
633,772,560,2017,1
634,944,26,2023,3
635,296,967,2018,2
636,12,391,2016,1
637,134,732,2020,3
638,496,775,2018,5
639,260,286,2025,2
640,365,473,2025,5
641,76,939,2016,5
642,499,916,2024,1
643,738,943,2022,0
644,804,214,2018,2
645,629,591,2021,3
646,346,667,2021,4
647,201,908,2025,0
648,239,744,2024,2
649,226,180,2016,5
650,921,849,2015,4
651,315,505,2020,1
652,885,512,2020,0
653,933,410,2015,2
654,309,774,2020,2
655,101,361,2020,2
656,12,489,2024,3
657,552,687,2023,1
658,996,359,2016,4
659,923,920,2024,0
660,705,802,2024,4
661,38,7,2025,2
662,733,889,2021,2
663,468,803,2024,2
664,978,974,2019,1
665,449,566,2018,4
666,425,653,2019,5
667,352,222,2024,0
668,876,307,2017,3
669,179,660,2025,4
670,658,966,2025,3
671,804,462,2015,2
672,647,215,2019,1
673,860,164,2025,1
674,202,190,2022,5
675,171,966,2017,1
676,531,298,2024,0
677,449,850,2022,1
678,625,785,2017,4
679,155,117,2016,5
680,543,550,2025,1
681,259,117,2015,0
682,453,429,2024,5
683,50,491,2015,2
684,444,439,2022,0
685,401,472,2022,4
686,221,730,2025,3
687,254,68,2025,1
688,343,29,2019,2
689,257,745,2019,2
690,966,67,2024,2
691,975,589,2022,4
692,346,426,2015,5
693,757,702,2022,4
694,697,709,2022,0
695,255,659,2020,1
696,17,408,2021,5
697,724,711,2021,4
698,372,791,2020,3
699,51,370,2025,0
700,286,773,2025,4
701,337,96,2016,1
702,5,656,2023,1
703,226,459,2020,3
704,546,436,2018,4
705,904,475,2020,3
706,937,504,2015,4
707,661,539,2021,0
708,434,158,2021,1
709,3,86,2020,1
710,478,366,2022,1
711,622,821,2025,1
712,87,675,2023,4
713,668,556,2017,0
714,151,353,2017,5
715,892,451,2018,5
716,2,815,2025,4
717,46,904,2021,2
718,23,956,2015,1
719,500,867,2018,1
720,886,156,2024,3
721,283,759,2018,3
722,144,611,2022,5
723,230,638,2017,5
724,939,906,2024,0
725,655,12,2019,3
726,581,239,2016,1
727,773,406,2016,0
728,111,375,2025,0
729,95,359,2021,3
730,489,431,2021,1
731,466,749,2020,3
732,670,868,2018,5
733,85,168,2018,3
734,418,886,2020,1
735,98,392,2022,1
736,213,486,2016,4
737,616,664,2024,4
738,481,533,2023,4
739,724,918,2019,0
740,567,457,2025,1
741,321,683,2019,4
742,989,57,2017,5
743,25,14,2018,3
744,544,720,2025,1
745,457,33,2022,2
746,863,338,2020,0
747,109,122,2025,2
748,455,832,2018,1
749,563,337,2016,4
750,893,619,2025,1
751,842,184,2016,4
752,117,675,2016,3
753,467,768,2015,1
754,806,81,2024,1
755,104,535,2019,4
756,156,427,2025,5
757,70,710,2022,0
758,735,745,2019,2
759,466,62,2015,3
760,42,782,2017,4
761,321,562,2025,4
762,843,321,2021,2
763,520,443,2018,0
764,912,249,2019,5
765,636,651,2019,5
766,733,536,2020,0
767,467,415,2016,5
768,867,48,2022,1
769,211,550,2024,5
770,411,310,2020,2
771,746,442,2025,4
772,69,692,2021,5
773,325,383,2025,1
774,744,322,2020,4
775,483,134,2017,2
776,771,350,2024,1
777,742,404,2017,4
778,382,156,2019,5
779,925,917,2019,2
780,634,68,2024,2
781,875,769,2020,2
782,221,665,2022,0
783,517,199,2025,5
784,261,337,2018,4
785,118,38,2023,3
786,396,984,2015,5
787,705,580,2020,4
788,582,450,2018,1
789,708,83,2023,0
790,734,398,2022,2
791,795,36,2019,0
792,288,61,2024,4
793,279,189,2024,1
794,415,525,2017,4
795,630,641,2025,4
796,62,328,2024,2
797,675,539,2019,0
798,109,279,2015,5
799,55,140,2022,4
800,809,427,2015,4
801,519,691,2022,2
802,874,437,2024,4
803,53,927,2020,1
804,463,942,2019,3
805,679,200,2017,5
806,113,558,2020,5
807,665,688,2023,4
808,982,47,2024,4
809,813,885,2020,4
810,311,621,2018,1
811,643,679,2022,5
812,372,966,2020,4
813,103,391,2016,2
814,775,796,2019,4
815,108,378,2018,4
816,965,742,2015,2
817,971,570,2017,5
818,66,86,2015,2
819,323,884,2018,5
820,391,143,2015,0
821,231,919,2021,2
822,299,834,2023,4
823,241,895,2015,3
824,852,990,2017,3
825,846,578,2025,3
826,500,1,2015,4
827,244,201,2022,4
828,99,911,2016,0
829,573,595,2018,0
830,253,354,2025,2
831,498,658,2019,2
832,524,358,2024,2
833,225,489,2016,0
834,74,144,2023,1
835,719,529,2021,4
836,127,614,2021,3
837,987,773,2018,5
838,118,70,2016,4
839,59,438,2024,3
840,128,34,2018,1
841,263,248,2015,5
842,443,718,2018,5
843,10,414,2018,0
844,623,396,2021,2
845,574,535,2020,4
846,515,674,2024,1
847,683,311,2021,5
848,505,445,2018,4
849,267,467,2016,4
850,496,32,2018,2
851,524,567,2016,2
852,407,643,2017,2
853,606,860,2025,2
854,56,401,2022,4
855,92,207,2020,3
856,241,27,2024,2
857,522,800,2023,2
858,589,957,2017,2
859,923,254,2017,1
860,624,332,2015,4
861,788,538,2015,4
862,668,280,2019,3
863,846,499,2019,2
864,185,206,2021,5
865,463,429,2025,3
866,853,968,2015,5
867,258,36,2020,1
868,830,591,2025,0
869,686,130,2024,5
870,845,69,2025,2
871,752,909,2016,2
872,756,72,2023,5
873,838,587,2017,5
874,341,966,2020,5
875,126,681,2019,4
876,692,765,2023,2
877,393,974,2022,1
878,911,480,2016,3
879,455,799,2024,0
880,461,765,2022,5
881,961,653,2019,2
882,11,259,2025,2
883,43,297,2020,4
884,972,930,2018,2
885,993,116,2016,0
886,527,911,2020,2
887,765,526,2021,0
888,30,971,2016,4
889,267,768,2022,3
890,298,449,2022,0
891,168,633,2020,4
892,768,767,2016,4
893,337,806,2023,4
894,851,559,2016,5
895,177,816,2016,1
896,85,246,2019,3
897,553,376,2017,1
898,545,645,2018,0
899,84,400,2022,2
900,725,526,2015,2
901,489,299,2017,1
902,323,969,2018,2
903,133,71,2023,0
904,564,552,2016,1
905,820,635,2020,4
906,149,417,2018,4
907,944,522,2019,0
908,149,724,2022,3
909,317,223,2025,0
910,391,331,2018,4
911,851,987,2023,2
912,620,665,2024,4
913,283,278,2018,5
914,136,432,2023,1
915,958,496,2021,0
916,460,680,2018,1
917,577,323,2017,0
918,484,81,2025,1
919,533,683,2015,2
920,974,252,2021,3
921,249,995,2015,5
922,28,219,2023,2
923,880,716,2019,0
924,696,954,2015,4
925,711,407,2019,3
926,175,234,2016,3
927,805,40,2022,4
928,998,348,2015,3
929,408,860,2023,5
930,689,732,2023,2
931,875,671,2016,1
932,37,675,2018,1
933,141,616,2017,0
934,333,817,2022,5
935,200,570,2023,5
936,328,994,2019,4
937,229,978,2015,1
938,85,464,2016,1
939,237,897,2017,4
940,60,566,2017,0
941,17,994,2025,3
942,716,40,2020,4
943,749,873,2017,4
944,653,692,2018,0
945,684,403,2025,2
946,188,921,2019,2
947,776,385,2015,3
948,541,972,2017,4
949,195,712,2021,2
950,704,136,2023,5
951,276,928,2025,5
952,236,412,2021,5
953,201,649,2015,4
954,301,927,2019,3
955,538,836,2025,5
956,597,274,2017,2
957,296,741,2017,3
958,140,848,2022,1
959,979,73,2017,4
960,229,540,2021,3
961,342,85,2025,3
962,614,892,2025,3
963,345,625,2022,2
964,377,916,2017,4
965,47,3,2021,3
966,934,962,2020,0
967,758,573,2023,3
968,602,684,2021,4
969,844,789,2021,4
970,770,275,2020,5
971,264,979,2024,5
972,836,659,2023,0
973,870,821,2017,5
974,642,870,2020,3
975,76,957,2020,1
976,193,552,2018,5
977,569,768,2021,3
978,584,840,2024,0
979,361,740,2025,1
980,917,578,2018,1
981,423,930,2016,2
982,729,502,2020,5
983,418,619,2024,3
984,779,234,2025,1
985,1,794,2025,5
986,181,977,2021,0
987,793,834,2019,4
988,37,673,2018,4
989,486,820,2018,1
990,526,756,2017,2
991,269,592,2023,0
992,814,786,2017,1
993,858,471,2021,2
994,101,53,2022,5
995,850,528,2022,1
996,578,593,2021,3
997,664,299,2022,2
998,696,999,2019,3
999,44,500,2017,1
1000,228,560,2016,1
